source,url,date,type,key,title,authors,first_author_institution,year,venue,peer_reviewed,venue_evidence,doi,arxiv_id,oa_pdf_url,cited_by_count,category,interest_status,notes
Di Wu 2026 — LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues,http://arxiv.org/abs/2605.12493v1,2026-05-12,benchmark,longmemeval_v2,LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues,"Di Wu; Zixiang Ji; Asmi Kawatkar; Bryan Kwan (+3 more, 7 total)","University of California, Los Angeles",2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2605.12493,https://arxiv.org/pdf/2605.12493v1,0.0,evaluation,disinterested,arXiv v1; comment: Work in Progress
Ying Xie (1 total) 2026 — Learning to Forget: Sleep-Inspired Memory Consolidation for Resolving Proactive Interference in Large Language Models,http://arxiv.org/abs/2603.14517v1,2026-03-15,system_paper,sleep_consolidation,Learning to Forget: Sleep-Inspired Memory Consolidation for Resolving Proactive Interference in Large Language Models,Ying Xie (1 total),,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2603.14517,2603.14517,https://arxiv.org/pdf/2603.14517v1,0.0,engineering,author_of_system,"arXiv v1; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Yingjie Gu 2026 — FSFM: A Biologically-Inspired Framework for Selective Forgetting of Agent Memory,http://arxiv.org/abs/2604.20300v2,2026-04-22,system_paper,fsfm_forgetting,FSFM: A Biologically-Inspired Framework for Selective Forgetting of Agent Memory,"Yingjie Gu; Wenjian Xiong; Liqiang Wang; Pengcheng Ren (+6 more, 10 total)",,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2604.203,https://arxiv.org/pdf/2604.20300v2,0.0,engineering,author_of_system,"arXiv v2; comment: 28 pages, 5 figures, 3 tables"
Brennan Jones 2025 — Users' Expectations and Practices with Agent Memory,https://doi.org/10.1145/3706599.3720158,2025-04-23,independent_eval,users_expectations,Users' Expectations and Practices with Agent Memory,"Brennan Jones; Kelsey Stemmler; Emily Su; Young‐Ho Kim (+1 more, 5 total)",University of Toronto,2025,CHI 2025 Extended Abstracts,CHI 2025 Extended Abstracts,"Crossref: type=proceedings-article, container=""Proceedings of the Extended Abstracts of the CHI Conference on Human F"", publisher=""ACM""",10.1145/3706599.3720158,,,5.0,evaluation,disinterested,"found via forward citation walk; venue inferred from DOI prefix/OpenAlex, not from an arXiv journal_ref; DOI resolved on Crossref (title match: ""Users' Expectations and Practices with Agent Memor..."")"
M.G. Kim 2026 — Metaphors for Memory: Charting a Design Space of AI Memory Tools and Interfaces,https://doi.org/10.1145/3800645.3812979,2026-06-12,independent_eval,metaphors_memory,Metaphors for Memory: Charting a Design Space of AI Memory Tools and Interfaces,M.G. Kim; Michalis Famelis; Ian Arawjo (3 total),Université de Montréal,2026,DIS 2026 (ACM Designing Interactive Systems),DIS 2026 (ACM Designing Interactive Systems),"Crossref: type=proceedings-article, container=""Proceedings of the 2026 Designing Interactive Systems Conference"", publisher=""ACM""",10.1145/3800645.3812979,,,0.0,evaluation,disinterested,"found via forward citation walk; venue inferred from DOI prefix/OpenAlex, not from an arXiv journal_ref; DOI resolved on Crossref (title match: ""Metaphors for Memory: Charting a Design Space of A..."")"
Mahmoud Mohammadi 2025 — Evaluation and Benchmarking of LLM Agents: A Survey,https://doi.org/10.1145/3711896.3736570,2025-08-03,survey,eval_bench_agents_survey,Evaluation and Benchmarking of LLM Agents: A Survey,Mahmoud Mohammadi; Yipeng Li; Jane C. Lo; Wendy Yip (4 total),Bellevue College,2025,KDD 2025 (ACM SIGKDD),KDD 2025 (ACM SIGKDD),"Crossref: type=proceedings-article, container=""Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery a"", publisher=""ACM""",10.1145/3711896.3736570,,https://dl.acm.org/doi/pdf/10.1145/3711896.3736570,39.0,evaluation,disinterested,"found via forward citation walk; venue inferred from DOI prefix/OpenAlex, not from an arXiv journal_ref; DOI resolved on Crossref (title match: ""Evaluation and Benchmarking of LLM Agents: A Surve..."")"
Qingyue Wang 2025 — Recursively summarizing enables long-term dialogue memory in large language models,https://doi.org/10.1016/j.neucom.2025.130193,2025-04-11,system_paper,recursive_summarize,Recursively summarizing enables long-term dialogue memory in large language models,"Qingyue Wang; Yanhe Fu; Yanan Cao; Shuai Wang (+2 more, 6 total)",Hong Kong University of Science and Technology,2025,Neurocomputing,Neurocomputing,"Crossref: type=journal-article, container=""Neurocomputing"", publisher=""Elsevier BV""",10.1016/j.neucom.2025.130193,,,30.0,engineering,author_of_system,"found via forward citation walk; venue inferred from DOI prefix/OpenAlex, not from an arXiv journal_ref; DOI resolved on Crossref (title match: ""Recursively summarizing enables long-term dialogue..."")"
Endel Tulving (1 total) 1972 — Episodic and Semantic Memory,https://doi.org/10.4135/9781446212967.n15,,cogsci_primary,tulving_1972,Episodic and Semantic Memory,Endel Tulving (1 total),,1972,Organization of Memory (Academic Press); reprinted SAGE 2007,Organization of Memory (Academic Press); reprinted SAGE 2007,,10.4135/9781446212967.n15,,,3834.0,cognitive_science,,"Tulving 1972 chapter in Organization of Memory (Academic Press) has no DOI of its own; DOI given is the 2007 SAGE reprint retrieved from OpenAlex; DOI verified on Crossref (book-chapter, Cognitive Psychology, 2007)"
Endel Tulving (1 total) 1985 — How many memory systems are there?,https://doi.org/10.1037/0003-066x.40.4.385,1985-04-01,cogsci_primary,tulving_1985,How many memory systems are there?,Endel Tulving (1 total),University of Toronto,1985,American Psychologist,American Psychologist,,10.1037/0003-066x.40.4.385,,,1796.0,cognitive_science,,"'How many memory systems are there?' — episodic/semantic/procedural tripartite proposal; DOI verified on Crossref (journal-article, American Psychologist, 1985)"
Endel Tulving (1 total) 2002 — Episodic Memory: From Mind to Brain,https://doi.org/10.1146/annurev.psych.53.100901.135114,2002-02-01,cogsci_review,tulving_2002,Episodic Memory: From Mind to Brain,Endel Tulving (1 total),Baycrest Hospital,2002,Annual Review of Psychology,Annual Review of Psychology,,10.1146/annurev.psych.53.100901.135114,,,4937.0,cognitive_science,,"authoritative review of episodic memory; DOI verified on Crossref (journal-article, Annual Review of Psychology, 2002)"
Larry R. Squire (1 total) 2004 — Memory systems of the brain: A brief history and current perspective,https://doi.org/10.1016/j.nlm.2004.06.005,2004-08-24,cogsci_review,squire_2004,Memory systems of the brain: A brief history and current perspective,Larry R. Squire (1 total),University of California San Diego,2004,Neurobiology of Learning and Memory,Neurobiology of Learning and Memory,,10.1016/j.nlm.2004.06.005,,,2233.0,cognitive_science,,"Squire's declarative/nondeclarative taxonomy of memory systems; DOI verified on Crossref (journal-article, Neurobiology of Learning and Memory, 2004)"
Larry R. Squire 1995 — Retrograde amnesia and memory consolidation: a neurobiological perspective,https://doi.org/10.1016/0959-4388(95)80023-9,1995-04-01,cogsci_primary,squire_alvarez_1995,Retrograde amnesia and memory consolidation: a neurobiological perspective,Larry R. Squire; Pablo Alvarez (2 total),San Francisco VA Medical Center,1995,Current Opinion in Neurobiology,Current Opinion in Neurobiology,,10.1016/0959-4388(95)80023-9,,,1414.0,cognitive_science,,"systems consolidation from retrograde amnesia gradients; DOI verified on Crossref (journal-article, Current Opinion in Neurobiology, 1995)"
Larry R. Squire 2015 — Conscious and Unconscious Memory Systems,https://doi.org/10.1101/cshperspect.a021667,2015-03-01,cogsci_review,squire_2015,Conscious and Unconscious Memory Systems,Larry R. Squire; Adam J. O. Dede (2 total),University of California San Diego,2015,Cold Spring Harbor Perspectives in Biology,Cold Spring Harbor Perspectives in Biology,,10.1101/cshperspect.a021667,,,353.0,cognitive_science,,"; DOI verified on Crossref (journal-article, Cold Spring Harbor Perspectives in Biology, 2015)"
Neal J. Cohen 1980 — Preserved Learning and Retention of Pattern-Analyzing Skill in Amnesia: Dissociation of Knowing How and Knowing That,https://doi.org/10.1126/science.7414331,1980-10-10,cogsci_primary,cohen_squire_1980,Preserved Learning and Retention of Pattern-Analyzing Skill in Amnesia: Dissociation of Knowing How and Knowing That,Neal J. Cohen; Larry R. Squire (2 total),University of California San Diego,1980,Science,Science,,10.1126/science.7414331,,,2289.0,cognitive_science,,"procedural vs declarative dissociation in amnesia; DOI verified on Crossref (journal-article, Science, 1980)"
James L. McClelland 1995 — Why there are complementary learning systems in the hippocampus and neocortex: Insights from the successes and failures of connectionist models of learning and memory.,https://doi.org/10.1037/0033-295x.102.3.419,1995-07-01,cogsci_primary,mcclelland_1995,Why there are complementary learning systems in the hippocampus and neocortex: Insights from the successes and failures of connectionist models of learning and memory.,James L. McClelland; Bruce L. McNaughton; Randall C. O’Reilly (3 total),Carnegie Mellon University,1995,Psychological Review,Psychological Review,,10.1037/0033-295x.102.3.419,,,5375.0,cognitive_science,,"complementary learning systems (CLS) — hippocampus fast / neocortex slow; DOI verified on Crossref (journal-article, Psychological Review, 1995)"
Dharshan Kumaran 2016 — What Learning Systems do Intelligent Agents Need? Complementary Learning Systems Theory Updated,https://doi.org/10.1016/j.tics.2016.05.004,2016-06-14,cogsci_review,kumaran_2016,What Learning Systems do Intelligent Agents Need? Complementary Learning Systems Theory Updated,Dharshan Kumaran; Demis Hassabis; James L. McClelland (3 total),Google DeepMind (United Kingdom),2016,Trends in Cognitive Sciences,Trends in Cognitive Sciences,,10.1016/j.tics.2016.05.004,,,719.0,cognitive_science,,"CLS theory updated, explicitly aimed at intelligent agents; DOI verified on Crossref (journal-article, Trends in Cognitive Sciences, 2016)"
Randall C. O’Reilly 2011 — Complementary Learning Systems,https://doi.org/10.1111/j.1551-6709.2011.01214.x,2011-12-05,cogsci_review,oreilly_2014,Complementary Learning Systems,Randall C. O’Reilly; Rajan Bhattacharyya; Michael D. Howard; Nicholas Ketz (4 total),University of Colorado Boulder,2011,Cognitive Science,Cognitive Science,,10.1111/j.1551-6709.2011.01214.x,,,277.0,cognitive_science,,"OpenAlex year 2011 for this record; verify year before citing; DOI verified on Crossref (journal-article, Cognitive Science, 2011)"
Karim Nader 2000 — Fear memories require protein synthesis in the amygdala for reconsolidation after retrieval,https://doi.org/10.1038/35021052,2000-08-17,cogsci_primary,nader_2000,Fear memories require protein synthesis in the amygdala for reconsolidation after retrieval,Karim Nader; Glenn E. Schafe; Joseph E. Le Doux (3 total),W. M. Keck Foundation,2000,Nature,Nature,,10.1038/35021052,,,2727.0,cognitive_science,,"reconsolidation: retrieval renders memory labile; DOI verified on Crossref (journal-article, Nature, 2000)"
"Yadin Dudai (1 total) 2004 — The Neurobiology of Consolidations, Or, How Stable is the Engram?",https://doi.org/10.1146/annurev.psych.55.090902.142050,2004-01-27,cogsci_review,dudai_2004,"The Neurobiology of Consolidations, Or, How Stable is the Engram?",Yadin Dudai (1 total),Weizmann Institute of Science,2004,Annual Review of Psychology,Annual Review of Psychology,,10.1146/annurev.psych.55.090902.142050,,,1664.0,cognitive_science,,"consolidation/reconsolidation review; DOI verified on Crossref (journal-article, Annual Review of Psychology, 2004)"
James L. McGaugh (1 total) 2000 — Memory--a Century of Consolidation,https://doi.org/10.1126/science.287.5451.248,2000-01-14,cogsci_review,mcgaugh_2000,Memory--a Century of Consolidation,James L. McGaugh (1 total),"University of California, Irvine",2000,Science,Science,,10.1126/science.287.5451.248,,,4237.0,cognitive_science,,"century of consolidation; DOI verified on Crossref (journal-article, Science, 2000)"
Hermann Ebbinghaus (1 total) 1913 — Memory: A contribution to experimental psychology.,https://doi.org/10.1037/10011-000,1913-01-01,cogsci_primary,ebbinghaus_1885,Memory: A contribution to experimental psychology.,Hermann Ebbinghaus (1 total),,1913,Teachers College Press eBooks,Teachers College Press eBooks,,10.1037/10011-000,,,1636.0,cognitive_science,,"1885 German original 'Über das Gedächtnis' has no DOI; DOI is the 1913 Ruger & Bussenius English translation record retrieved from OpenAlex; DOI verified on Crossref (book, Teachers College Press, 1913)"
Jaap M. J. Murre 2015 — Replication and Analysis of Ebbinghaus’ Forgetting Curve,https://doi.org/10.1371/journal.pone.0120644,2015-07-06,cogsci_primary,murre_dros_2015,Replication and Analysis of Ebbinghaus’ Forgetting Curve,Jaap M. J. Murre; Joeri Dros (2 total),University of Amsterdam,2015,PLoS ONE,PLoS ONE,,10.1371/journal.pone.0120644,,,768.0,cognitive_science,,"modern replication of the Ebbinghaus forgetting curve — cite this for the empirical curve; DOI verified on Crossref (journal-article, PLOS ONE, 2015)"
John T. Wixted 1991 — On the Form of Forgetting,https://doi.org/10.1111/j.1467-9280.1991.tb00175.x,1991-11-01,cogsci_primary,wixted_ebbesen_1991,On the Form of Forgetting,John T. Wixted; Ebbe Β. Ebbesen (2 total),University of California San Diego,1991,Psychological Science,Psychological Science,,10.1111/j.1467-9280.1991.tb00175.x,,,510.0,cognitive_science,,"form of forgetting is power-law, not exponential; DOI verified on Crossref (journal-article, Psychological Science, 1991)"
John T. Wixted (1 total) 2004 — The Psychology and Neuroscience of Forgetting,https://doi.org/10.1146/annurev.psych.55.090902.141555,2004-01-27,cogsci_review,wixted_2004,The Psychology and Neuroscience of Forgetting,John T. Wixted (1 total),University of California San Diego,2004,Annual Review of Psychology,Annual Review of Psychology,,10.1146/annurev.psych.55.090902.141555,,,1021.0,cognitive_science,,"; DOI verified on Crossref (journal-article, Annual Review of Psychology, 2004)"
David C. Rubin 1996 — One hundred years of forgetting: A quantitative description of retention.,https://doi.org/10.1037/0033-295x.103.4.734,1996-10-01,cogsci_primary,rubin_wenzel_1996,One hundred years of forgetting: A quantitative description of retention.,David C. Rubin; Amy Wenzel (2 total),Duke University,1996,Psychological Review,Psychological Review,,10.1037/0033-295x.103.4.734,,,794.0,cognitive_science,,"quantitative comparison of 105 retention functions; DOI verified on Crossref (journal-article, Psychological Review, 1996)"
John R. Anderson 1991 — Reflections of the Environment in Memory,https://doi.org/10.1111/j.1467-9280.1991.tb00174.x,1991-11-01,cogsci_primary,anderson_schooler_1991,Reflections of the Environment in Memory,John R. Anderson; Lael J. Schooler (2 total),Carnegie Mellon University,1991,Psychological Science,Psychological Science,,10.1111/j.1467-9280.1991.tb00174.x,,,1113.0,cognitive_science,,"rational analysis: memory tracks environmental need-odds — the base-level activation argument; DOI verified on Crossref (journal-article, Psychological Science, 1991)"
John R. Anderson 2004 — An Integrated Theory of the Mind.,https://doi.org/10.1037/0033-295x.111.4.1036,2004-01-01,cogsci_primary,anderson_2004_actr,An Integrated Theory of the Mind.,"John R. Anderson; Daniel Bothell; Michael D. Byrne; Scott Douglass (+2 more, 6 total)",Carnegie Mellon University,2004,Psychological Review,Psychological Review,,10.1037/0033-295x.111.4.1036,,,2956.0,cognitive_science,,"ACT-R integrated theory incl. base-level activation equation; DOI verified on Crossref (journal-article, Psychological Review, 2004)"
Nicholas J. Cepeda 2006 — Distributed practice in verbal recall tasks: A review and quantitative synthesis.,https://doi.org/10.1037/0033-2909.132.3.354,2006-01-01,cogsci_review,cepeda_2006,Distributed practice in verbal recall tasks: A review and quantitative synthesis.,"Nicholas J. Cepeda; Harold Pashler; Edward Vul; John T. Wixted (+1 more, 5 total)",University of California San Diego,2006,Psychological Bulletin,Psychological Bulletin,,10.1037/0033-2909.132.3.354,,,1840.0,cognitive_science,,"meta-analysis of distributed practice / spacing effect; DOI verified on Crossref (journal-article, Psychological Bulletin, 2006)"
Henry L. Roediger 2006 — Test-Enhanced Learning: Taking Memory Tests Improves Long-Term Retention,https://doi.org/10.1111/j.1467-9280.2006.01693.x,,cogsci_primary,roediger_karpicke_2006,Test-Enhanced Learning: Taking Memory Tests Improves Long-Term Retention,Henry L. Roediger; Jeffrey D. Karpicke (2 total),,2006,Psychological Science,Psychological Science,,10.1111/j.1467-9280.2006.01693.x,,,,cognitive_science,,"resolved via Crossref; DOI verified on Crossref (journal-article, Psychological Science, 2006)"
Jeffrey D. Karpicke 2008 — The Critical Importance of Retrieval for Learning,https://doi.org/10.1126/science.1152408,2008-02-14,cogsci_primary,karpicke_roediger_2008,The Critical Importance of Retrieval for Learning,Jeffrey D. Karpicke; Henry L. Roediger (2 total),Washington University in St. Louis,2008,Science,Science,,10.1126/science.1152408,,,1782.0,cognitive_science,,"; DOI verified on Crossref (journal-article, Science, 2008)"
Christopher A. Rowland (1 total) 2014 — The effect of testing versus restudy on retention: A meta-analytic review of the testing effect.,https://doi.org/10.1037/a0037559,2014-01-01,cogsci_review,rowland_2014,The effect of testing versus restudy on retention: A meta-analytic review of the testing effect.,Christopher A. Rowland (1 total),Colorado State University,2014,Psychological Bulletin,Psychological Bulletin,,10.1037/a0037559,,,1080.0,cognitive_science,,"meta-analytic review of the testing effect; DOI verified on Crossref (journal-article, Psychological Bulletin, 2014)"
RA Bjork 1992 — A new theory of disuse and an old theory of stimulus fluctuation,,1992-01-01,cogsci_primary,bjork_bjork_1992,A new theory of disuse and an old theory of stimulus fluctuation,RA Bjork; EL Bjork; Erkki Björk; L Björk (4 total),,1992,book/chapter (see notes),book (not journal peer review),,,,,450.0,cognitive_science,,"new theory of disuse (storage vs retrieval strength) — book chapter, NO DOI found in OpenAlex or Crossref"
"Elizabeth Ligon Bjork 2011 — Making things hard on yourself, but in a good way: Creating desirable difficulties to enhance learning",,,cogsci_primary,bjork_2011,"Making things hard on yourself, but in a good way: Creating desirable difficulties to enhance learning",Elizabeth Ligon Bjork; Robert A. Bjork (2 total),,2011,Psychology and the Real World (book chapter),Psychology and the Real World (book chapter),,,,,675.0,cognitive_science,,desirable difficulties — book chapter in Psychology and the Real World; OpenAlex record found (675 citations) but NO DOI; Crossref returned no matching record
Michael C. Anderson 1994 — Remembering can cause forgetting: Retrieval dynamics in long-term memory.,https://doi.org/10.1037/0278-7393.20.5.1063,1994-01-01,cogsci_primary,anderson_1994_rif,Remembering can cause forgetting: Retrieval dynamics in long-term memory.,Michael C. Anderson; Robert A. Bjork; Elizabeth Ligon Bjork (3 total),"University of California, Los Angeles",1994,Journal of Experimental Psychology Learning Memory and Cognition,Journal of Experimental Psychology Learning Memory and Cognition,,10.1037/0278-7393.20.5.1063,,,1460.0,cognitive_science,,"retrieval-induced forgetting; DOI verified on Crossref (journal-article, Journal of Experimental Psychology: Learning, Memory, and Cognition, 1994)"
Benton J. Underwood (1 total) 1957 — Interference and forgetting.,https://doi.org/10.1037/h0044616,1957-01-01,cogsci_primary,underwood_1957,Interference and forgetting.,Benton J. Underwood (1 total),,1957,Psychological Review,Psychological Review,,10.1037/h0044616,,,831.0,cognitive_science,,"interference as the driver of forgetting; DOI verified on Crossref (journal-article, Psychological Review, 1957)"
Daniel L. Schacter (1 total) 1999 — The seven sins of memory: Insights from psychology and cognitive neuroscience.,https://doi.org/10.1037/0003-066x.54.3.182,1999-01-01,cogsci_review,schacter_1999,The seven sins of memory: Insights from psychology and cognitive neuroscience.,Daniel L. Schacter (1 total),,1999,American Psychologist,American Psychologist,,10.1037/0003-066x.54.3.182,,,1130.0,cognitive_science,,"seven sins of memory — failure taxonomy; DOI verified on Crossref (journal-article, American Psychologist, 1999)"
Fergus I. M. Craik 1972 — Levels of processing: A framework for memory research,https://doi.org/10.1016/s0022-5371(72)80001-x,1972-12-01,cogsci_primary,craik_lockhart_1972,Levels of processing: A framework for memory research,Fergus I. M. Craik; Robert S. Lockhart (2 total),University of Toronto,1972,Journal of Verbal Learning and Verbal Behavior,Journal of Verbal Learning and Verbal Behavior,,10.1016/s0022-5371(72)80001-x,,,9570.0,cognitive_science,,"levels of processing; cited by the LLM-agent memory surveys; DOI verified on Crossref (journal-article, Journal of Verbal Learning and Verbal Behavior, 1972)"
Alan Baddeley 1974 — Working Memory,https://doi.org/10.1016/s0079-7421(08)60452-1,1974-01-01,cogsci_primary,baddeley_hitch_1974,Working Memory,Alan Baddeley; Graham J. Hitch (2 total),University of Stirling,1974,The Psychology of learning and motivation/The psychology of learning and motivation,The Psychology of learning and motivation/The psychology of learning and motivation,,10.1016/s0079-7421(08)60452-1,,,5232.0,cognitive_science,,"working memory model; DOI verified on Crossref (book-chapter, Psychology of Learning and Motivation, 1974)"
Endel Tulving 1966 — Availability versus accessibility of information in memory for words,https://doi.org/10.1016/s0022-5371(66)80048-8,1966-08-01,cogsci_primary,tulving_pearlstone_1966,Availability versus accessibility of information in memory for words,Endel Tulving; Zena Pearlstone (2 total),University of Toronto,1966,Journal of Verbal Learning and Verbal Behavior,Journal of Verbal Learning and Verbal Behavior,,10.1016/s0022-5371(66)80048-8,,,1530.0,cognitive_science,,"availability vs accessibility — a retrieval-cue distinction directly relevant to agent recall; DOI verified on Crossref (journal-article, Journal of Verbal Learning and Verbal Behavior, 1966)"
Duncan Godden 1975 — CONTEXT‐DEPENDENT MEMORY IN TWO NATURAL ENVIRONMENTS: ON LAND AND UNDERWATER,https://doi.org/10.1111/j.2044-8295.1975.tb01468.x,1975-08-01,cogsci_primary,godden_baddeley_1975,CONTEXT‐DEPENDENT MEMORY IN TWO NATURAL ENVIRONMENTS: ON LAND AND UNDERWATER,Duncan Godden; Alan Baddeley (2 total),University of Stirling,1975,British Journal of Psychology,British Journal of Psychology,,10.1111/j.2044-8295.1975.tb01468.x,,,1695.0,cognitive_science,,"encoding-specificity / context-dependent retrieval; DOI verified on Crossref (journal-article, British Journal of Psychology, 1975)"
F. C. Bartlett 1933 — REMEMBERING: A STUDY IN EXPERIMENTAL AND SOCIAL PSYCHOLOGY,https://doi.org/10.1111/j.2044-8279.1933.tb02913.x,1933-06-01,cogsci_primary,bartlett_1932,REMEMBERING: A STUDY IN EXPERIMENTAL AND SOCIAL PSYCHOLOGY,F. C. Bartlett; Cyril Burt (2 total),St. John's College of Nursing,1933,British Journal of Educational Psychology,British Journal of Educational Psychology,,10.1111/j.2044-8279.1933.tb02913.x,,,1190.0,cognitive_science,,"reconstructive memory; OpenAlex record is the 1933 BJEP review of the book, not the book itself — verify before citing; DOI verified on Crossref (journal-article, British Journal of Educational Psychology, 1933)"
